title	type	url_slug	venue	date	location	teaching_url	description
Vidya Academy of Science and Technology	Teaching Assistant	Vidya-teach-assit	Dept. Computer Science, Vidya Academy of Science and Technology	2016-10-01	Thrissur		Teaching assitant, during masters study
Rajagiri School of Engineering and Technology	Research Assitant	RA-RSET	Dept. Computer Science, Rajagiri School of Engineering and Technology	2021-10-01	Kochi		Research Assistant
