title	type	url_slug	venue	date	location	talk_url	description
Talk 1 on research career after graduation	Talk	talk-1	Dept. Computer Science, Vidya Academy of Science and Technology	2021-10-12	Online		Career orientation for research after graduation study
Talk on image recognition challenges	Tutorial	tutorial-1	Dept. Computer Science, Rajagiri School of Engineering and Technology	2021-11-24	Online		Briefing image recognition challenges and computer vision problems. A strategic approach for dealing patterns recognition problems.
